rental	Album	do_not_eat
4.00 stars	Tindersticks - Tindersticks [II]	4.00 stars
3.50 stars	Pavement - Wowee Zowee	4.50 stars
3.50 stars	Fugazi - Red Medicine	4.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.00 stars
3.50 stars	Mainliner - Mellow Out	4.00 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.50 stars
3.00 stars	Burzum - Filosofem	4.00 stars
3.50 stars	Silkworm - Firewater	4.00 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.50 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	4.00 stars
3.50 stars	Unwound - Repetition	4.50 stars
3.50 stars	Cul de Sac - China Gate	4.00 stars
3.50 stars	Cardiacs - Sing to God	4.00 stars
3.50 stars	Gastr del Sol - Upgrade & Afterlife	4.00 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.50 stars
4.00 stars	Laddio Bolocko - Strange Warmings of Laddio Bolocko	4.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
3.00 stars	Squarepusher - Hard Normal Daddy	4.00 stars
3.50 stars	lowercase - Kill the Lights	4.00 stars
3.50 stars	Unwound - Challenge for a Civilized Society	4.50 stars
3.50 stars	GAS - Zauberberg	4.00 stars
3.50 stars	Gastr del Sol - Camoufleur	4.50 stars
3.50 stars	Duster - Stratosphere	4.00 stars
4.00 stars	Tortoise - TNT	4.50 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	5.00 stars
4.50 stars	Royal Trux - Accelerator	4.00 stars
4.00 stars	Don Caballero - What Burns Never Returns	4.00 stars
3.50 stars	GAS - Königsforst	4.50 stars
3.00 stars	Smog - Knock Knock	4.00 stars
3.50 stars	lowercase - The Going Away Present	4.00 stars
4.00 stars	Black Tambourine - Complete Recordings	4.50 stars
3.00 stars	The Black Heart Procession - 2	4.00 stars
4.00 stars	Loren MazzaCane Connors - Airs	4.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.50 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	5.00 stars
3.50 stars	Modest Mouse - Building Nothing Out of Something	4.50 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.50 stars
3.00 stars	Dirty Three - Whatever You Love, You Are	4.00 stars
3.00 stars	Luomo - Vocalcity	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	5.00 stars
5.00 stars	Life Without Buildings - Any Other City	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	5.00 stars
3.50 stars	Foetus - Flow	4.00 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	3.50 stars
4.00 stars	The Shins - Oh, Inverted World	4.00 stars
4.50 stars	Fennesz - Endless Summer	4.50 stars
3.50 stars	Hood - Cold House	4.00 stars
3.50 stars	Jim O'Rourke - I'm Happy, and I'm Singing, and a 1, 2, 3, 4	4.00 stars
3.50 stars	Rhys Chatham - An Angel Moves Too Fast to See: Selected Works 1971-1989	4.00 stars
4.50 stars	Xiu Xiu - Knife Play	4.00 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	4.00 stars
3.50 stars	Akufen - My Way	4.00 stars
3.00 stars	Sonic Youth - Murray Street	4.00 stars
3.50 stars	Hot Snakes - Suicide Invoice	4.50 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	4.00 stars
3.50 stars	Interpol - Turn On the Bright Lights	4.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
3.50 stars	Four Tet - Rounds	4.50 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	4.00 stars
4.00 stars	Melt-Banana - Cell-Scape	4.00 stars
3.50 stars	Broadcast - Haha Sound	4.50 stars
4.00 stars	John Frusciante - Shadows Collide With People	4.00 stars
4.50 stars	Madvillain - Madvillainy	4.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.50 stars
4.00 stars	Reigning Sound - Too Much Guitar	4.50 stars
3.50 stars	Junior Boys - Last Exit	4.00 stars
3.50 stars	The Fiery Furnaces - Blueberry Boat	4.00 stars
3.50 stars	Sightings - Arrived in Gold	4.00 stars
4.00 stars	WHY? - Elephant Eyelash	4.00 stars
4.00 stars	Animal Collective - Feels	5.00 stars
4.50 stars	Coil - The Ape of Naples	4.50 stars
3.50 stars	Sibylle Baier - Colour Green	4.00 stars
5.00 stars	J Dilla - Donuts	4.50 stars
4.00 stars	The Goslings - Grandeur of Hair	4.00 stars
3.00 stars	Factums - Alien Native	4.00 stars
3.50 stars	Panda Bear - Person Pitch	4.50 stars
4.00 stars	The Twilight Sad - Fourteen Autumns & Fifteen Winters	5.00 stars
3.00 stars	The Angelic Process - Weighing Souls With Sand	4.00 stars
4.00 stars	The National - Boxer	5.00 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	4.50 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Radiohead - In Rainbows	4.50 stars
4.00 stars	Burial - Untrue	4.00 stars
4.00 stars	MGMT - Oracular Spectacular	4.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.50 stars
4.00 stars	James Ferraro - Marble Surf	4.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.50 stars
5.00 stars	Animal Collective - Merriweather Post Pavilion	5.00 stars
3.50 stars	Japandroids - Post-Nothing	4.00 stars
3.50 stars	The Horrors - Primary Colours	3.50 stars
3.00 stars	HEALTH - Get Color	4.00 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	4.00 stars
4.00 stars	The Flaming Lips - Embryonic	4.50 stars
3.00 stars	Four Tet - There Is Love in You	4.00 stars
3.50 stars	Gonjasufi - A Sufi and a Killer	4.50 stars
3.00 stars	Daughters - Daughters	3.50 stars
3.00 stars	Titus Andronicus - The Monitor	4.00 stars
3.50 stars	Sun Araw - On Patrol	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	4.00 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	4.00 stars
3.50 stars	Tonetta - 777	4.00 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.50 stars
2.50 stars	Crippled Black Phoenix - I, Vigilante	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
5.00 stars	Women - Public Strain	4.00 stars
3.50 stars	Twin Shadow - Forget	3.50 stars
4.00 stars	The Soft Moon - The Soft Moon	4.00 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	3.50 stars
3.50 stars	Weyes Blood and the Dark Juices - The Outside Room	3.50 stars
4.50 stars	Graham Lambkin - Amateur Doubles	4.00 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.50 stars	Destroyer - Kaputt	3.50 stars
3.00 stars	The Psychic Paramount - II	4.00 stars
4.00 stars	Colin Stetson - New History Warfare Vol. 2: Judges	4.00 stars
4.00 stars	Death Grips - Exmilitary	3.00 stars
3.00 stars	Giles Corey - Giles Corey	4.00 stars
3.50 stars	Fleet Foxes - Helplessness Blues	3.00 stars
3.50 stars	Dope Body - Nupping	3.50 stars
4.50 stars	The Men - Leave Home	4.00 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.00 stars
3.00 stars	Woods - Sun and Shade	3.50 stars
3.50 stars	SBTRKT - SBTRKT	3.00 stars
4.00 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.50 stars
3.00 stars	Shabazz Palaces - Black Up	4.00 stars
3.50 stars	Part Time - What Would You Say?	3.50 stars
4.00 stars	Danny Brown - XXX	4.00 stars
3.00 stars	Julia Holter - Tragedy	3.00 stars
3.50 stars	Real Estate - Days	3.50 stars
3.50 stars	James Ferraro - Far Side Virtual	4.00 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	4.00 stars
4.00 stars	Mac DeMarco - Rock and Roll Night Club	3.50 stars
3.50 stars	Burial - Kindred EP	4.00 stars
3.00 stars	Keiji Haino, Jim O'Rourke & Oren Ambarchi - いみくずし (Imikuzushi)	4.00 stars
4.00 stars	The Men - Open Your Heart	3.50 stars
3.50 stars	Julia Holter - Ekstasis	4.00 stars
3.00 stars	White Suns - Sinews	3.50 stars
3.50 stars	Death Grips - The Money Store	3.50 stars
4.00 stars	Beach House - Bloom	3.00 stars
3.50 stars	alt-J - An Awesome Wave	3.50 stars
3.50 stars	Telstar Drugs - Telstar Drugs	3.50 stars
3.00 stars	Japandroids - Celebration Rock	4.00 stars
4.50 stars	Fiona Apple - The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	3.50 stars
3.50 stars	Frank Ocean - channel ORANGE	4.00 stars
3.50 stars	Happy Jawbone Family Band - The Silk Pistol	3.50 stars
3.50 stars	Micachu and the Shapes - Never	3.50 stars
3.50 stars	Goat - World Music	3.50 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.00 stars	Swans - The Seer	4.00 stars
3.50 stars	Konzerthaus Kammerorchester Berlin / André de Ridder / Daniel Hope - Recomposed by Max Richter: Vivaldi - The Four Seasons	4.00 stars
3.00 stars	Cult of Youth - Love Will Prevail	3.50 stars
