rental	Album	cuneyt81
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
3.50 stars	Big Ups - Before a Million Universes	4.00 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	4.50 stars
4.00 stars	Anna Meredith - Varmints	4.00 stars
3.50 stars	Tim Hecker - Love Streams	4.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.50 stars
3.00 stars	Jessy Lanza - Oh No	4.00 stars
3.50 stars	Car Seat Headrest - Teens of Denial	4.50 stars
3.50 stars	PUP - The Dream Is Over	4.00 stars
5.00 stars	Mitski - Puberty 2	4.50 stars
3.00 stars	Gonjasufi - Callus	4.00 stars
5.00 stars	Frank Ocean - Blonde	4.50 stars
4.00 stars	Angel Olsen - MY WOMAN	4.50 stars
3.50 stars	Preoccupations - Preoccupations	4.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
3.50 stars	Mall Walk - Funny Papers	4.00 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	4.50 stars
3.50 stars	Blanck Mass - World Eater	4.50 stars
4.00 stars	IDLES - Brutalism	4.50 stars
3.50 stars	Gnod - Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine	4.00 stars
3.50 stars	Mac DeMarco - This Old Dog	4.00 stars
3.50 stars	Forest Swords - Compassion	4.00 stars
4.00 stars	(Sandy) Alex G - Rocket	4.50 stars
3.50 stars	Sheer Mag - Need to Feel Your Love	4.50 stars
4.50 stars	Tyler, the Creator - Flower Boy	4.00 stars
4.00 stars	Protomartyr - Relatives in Descent	5.00 stars
4.00 stars	King Krule - The Ooz	4.50 stars
3.50 stars	Makthaverskan - Ill	4.00 stars
3.50 stars	Angel Olsen - Phases	4.00 stars
3.00 stars	Shopping - The Official Body	4.00 stars
4.00 stars	JPEGMAFIA - Veteran	4.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	4.00 stars
3.00 stars	Against All Logic - 2012 - 2017	4.00 stars
3.50 stars	The Men - Drift	4.00 stars
3.50 stars	Preoccupations - New Material	4.00 stars
3.00 stars	The Voidz - Virtue	2.00 stars
3.50 stars	FACS - Negative Houses	4.00 stars
3.50 stars	Playboi Carti - Die Lit	3.50 stars
4.00 stars	Beach House - 7	4.00 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	4.00 stars
4.00 stars	Pusha T - DAYTONA	4.50 stars
3.50 stars	Snail Mail - Lush	4.00 stars
3.50 stars	Deafheaven - Ordinary Corrupt Human Love	4.50 stars
3.50 stars	Denzel Curry - TA13OO	4.00 stars
4.00 stars	Mitski - Be the Cowboy	4.50 stars
3.50 stars	Blood Orange - Negro Swan	4.00 stars
3.00 stars	KEN mode - Loved	4.00 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	4.50 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	4.50 stars
3.50 stars	Mothers - Render Another Ugly Method	4.00 stars
3.50 stars	Low - Double Negative	4.50 stars
