rental	Album	buszuuu
4.00 stars	Nick Drake - Pink Moon	3.50 stars
4.00 stars	Milton Nascimento & Lô Borges - Clube da Esquina	4.00 stars
3.50 stars	Tom Zé - Estudando o samba	3.50 stars
3.50 stars	Fela Anikulapo Kuti and Afrika 70 - Zombie	4.50 stars
4.00 stars	Television - Marquee Moon	4.00 stars
3.50 stars	The Clash - The Clash	3.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	3.00 stars
4.00 stars	Suicide - Suicide	4.00 stars
4.50 stars	Wire - Pink Flag	4.50 stars
3.00 stars	Elvis Costello - This Year's Model	3.50 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	3.50 stars
3.00 stars	Magazine - Real Life	3.50 stars
4.00 stars	Wire - Chairs Missing	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	3.00 stars
4.00 stars	Chrome - Half Machine Lip Moves	3.00 stars
4.00 stars	Black Flag - Nervous Breakdown	4.00 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	3.00 stars
3.50 stars	Contortions - Buy	3.50 stars
4.00 stars	The Pop Group - Y	4.00 stars
3.50 stars	Joy Division - Unknown Pleasures	4.00 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.00 stars	Wire - 154	3.50 stars
4.00 stars	PiL - Metal Box	4.00 stars
3.50 stars	Germs - (GI)	3.50 stars
4.00 stars	X - Los Angeles	3.50 stars
4.00 stars	The Cramps - Songs the Lord Taught Us	3.50 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
3.00 stars	Circle Jerks - Group Sex	3.50 stars
3.00 stars	The Flesh Eaters - A Minute to Pray, a Second to Die	3.50 stars
3.50 stars	Gang of Four - Solid Gold	3.50 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	4.00 stars
4.00 stars	The Gun Club - Fire of Love	3.50 stars
4.00 stars	This Heat - Deceit	4.00 stars
4.00 stars	Glenn Branca - The Ascension	3.50 stars
3.50 stars	Zero Boys - Vicious Circle	3.50 stars
3.50 stars	Misfits - Walk Among Us	3.50 stars
3.50 stars	Savage Republic - Tragic Figures	4.00 stars
3.50 stars	The Faith / Void - The Faith / Void	3.50 stars
4.50 stars	Mission of Burma - Vs.	3.50 stars
3.50 stars	Minutemen - What Makes a Man Start Fires?	3.50 stars
4.00 stars	Dolly Mixture - Demonstration Tapes	4.00 stars
5.00 stars	Wipers - Over the Edge	4.00 stars
3.50 stars	Violent Femmes - Violent Femmes	3.50 stars
4.00 stars	The Smiths - The Smiths	3.50 stars
4.00 stars	Black Flag - My War	4.00 stars
4.50 stars	Meat Puppets - Meat Puppets II	3.50 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.00 stars
3.00 stars	Flipper - Gone Fishin'	3.50 stars
5.00 stars	Minutemen - Double Nickels on the Dime	4.00 stars
4.00 stars	Cocteau Twins - Treasure	4.00 stars
3.50 stars	The Smiths - Meat Is Murder	3.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
4.00 stars	Prefab Sprout - Steve McQueen	3.50 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	4.00 stars
4.00 stars	Big Black - Atomizer	4.00 stars
4.00 stars	Metallica - Master of Puppets	4.00 stars
3.50 stars	Slayer - Reign in Blood	4.50 stars
3.00 stars	Loop - Heaven's End	3.00 stars
3.00 stars	Patife Band - Corredor polonês	3.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	3.50 stars
3.50 stars	Big Black - Songs About Fucking	4.00 stars
4.00 stars	Galaxie 500 - Today	3.50 stars
3.50 stars	Pixies - Surfer Rosa	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.00 stars
3.50 stars	Dinosaur Jr - Bug	3.50 stars
3.50 stars	Beat Happening - Black Candy	3.50 stars
4.50 stars	Minor Threat - Complete Discography	4.50 stars
4.50 stars	Pixies - Doolittle	4.50 stars
3.50 stars	Beastie Boys - Paul's Boutique	3.50 stars
3.50 stars	Bastro - Diablo Guapo	4.00 stars
4.00 stars	NoMeansNo - Wrong	4.00 stars
3.50 stars	Godflesh - Streetcleaner	4.00 stars
3.00 stars	The Sundays - Reading, Writing and Arithmetic	4.00 stars
3.50 stars	The Gories - I Know You Fine, But How You Doin'	3.50 stars
3.00 stars	Thee Headcoats - Heavens to Murgatroyd, Even! It's Thee Headcoats! (Already)	3.50 stars
3.50 stars	Ride - Nowhere	4.00 stars
3.00 stars	Barkmarket - Vegas Throat	4.00 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	4.00 stars
4.00 stars	The Jesus Lizard - Goat	4.50 stars
5.00 stars	Slint - Spiderland	4.50 stars
3.00 stars	Armia - Legenda	3.50 stars
3.50 stars	The Ex + Tom Cora - Scrabbling at the Lock	4.00 stars
4.50 stars	Les Rallizes dénudés - '77 Live	3.50 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.00 stars
3.50 stars	Nirvana - Nevermind	4.50 stars
4.00 stars	Scratch Acid - The Greatest Gift	3.50 stars
3.00 stars	Superchunk - No Pocky for Kitty	3.50 stars
4.00 stars	Talk Talk - Laughing Stock	4.00 stars
3.50 stars	Unsane - Unsane	3.50 stars
3.50 stars	God - Possession	3.50 stars
4.00 stars	The Terminals - Touch	3.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.00 stars
3.00 stars	The Nation of Ulysses - Plays Pretty for Baby	4.00 stars
4.00 stars	Cows - 'Cunning Stunts'	4.00 stars
3.50 stars	Red House Painters - Down Colorful Hill	3.00 stars
4.00 stars	The Jesus Lizard - Liar	4.00 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	3.50 stars
3.00 stars	Harry Pussy - Harry Pussy	2.00 stars
4.50 stars	Moss Icon - Lyburnum Wits End Liberation Fly	3.50 stars
3.50 stars	Slowdive - Souvlaki	4.00 stars
4.00 stars	Unwound - Fake Train	3.00 stars
3.00 stars	Smashing Pumpkins - Siamese Dream	4.00 stars
3.00 stars	Seam - The Problem With Me	4.00 stars
4.50 stars	Yo La Tengo - Painful	4.00 stars
3.00 stars	Tindersticks - Tindersticks	3.50 stars
4.00 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	4.50 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	3.50 stars
4.00 stars	Low - I Could Live in Hope	4.00 stars
4.00 stars	Disco Inferno - D. I. Go Pop	3.00 stars
3.50 stars	Unwound - New Plastic Ideas	4.00 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.00 stars
3.50 stars	Nas - Illmatic	4.00 stars
3.00 stars	Sunny Day Real Estate - Diary	4.00 stars
3.00 stars	Scorn - Evanescence	4.00 stars
3.00 stars	Lush - Split	3.50 stars
3.50 stars	Kyuss - Kyuss [Welcome to Sky Valley]	4.00 stars
3.50 stars	Portishead - Dummy	4.50 stars
4.00 stars	Sebadoh - Bakesale	3.00 stars
3.50 stars	Space Streakings - 7-Toku	2.50 stars
4.00 stars	Shellac - At Action Park	4.50 stars
4.00 stars	Prolapse - Pointless Walks to Dismal Places	4.50 stars
3.00 stars	The Martians - Low Budget Stunt King	2.50 stars
3.50 stars	Death - Symbolic	3.50 stars
3.50 stars	Unwound - The Future of What	3.00 stars
3.50 stars	Fugazi - Red Medicine	4.00 stars
3.50 stars	Don Caballero - Don Caballero 2	3.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.00 stars
3.50 stars	Autechre - Tri repetae	4.00 stars
3.50 stars	Mainliner - Mellow Out	3.50 stars
3.50 stars	Księżyc - Księżyc	4.00 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.00 stars
3.50 stars	Sixteen Horsepower - Sackcloth 'n' Ashes	3.00 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	3.50 stars
3.50 stars	Unwound - Repetition	4.00 stars
3.50 stars	Gastr del Sol - Upgrade & Afterlife	3.50 stars
4.00 stars	Weezer - Pinkerton	4.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	3.50 stars
4.00 stars	Laddio Bolocko - Strange Warmings of Laddio Bolocko	3.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.00 stars
3.50 stars	Pavement - Brighten the Corners	3.50 stars
3.00 stars	Elliott Smith - Either / Or	4.00 stars
3.00 stars	Sleater-Kinney - Dig Me Out	3.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	3.50 stars
3.00 stars	Squarepusher - Hard Normal Daddy	4.00 stars
3.00 stars	µ-Ziq - Lunatic Harness	3.50 stars
3.50 stars	lowercase - Kill the Lights	3.50 stars
3.50 stars	Oxbow - Serenade in Red	3.50 stars
3.00 stars	Björk - Homogenic	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.00 stars
3.50 stars	Labradford - Mi media naranja	4.00 stars
4.00 stars	Kury - P.O.L.O.V.I.R.U.S.	4.00 stars
3.50 stars	Tortoise - TNT	3.50 stars
3.50 stars	Cows - Sorry in Pig Minor	3.50 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	4.00 stars
3.00 stars	Uzeda - Different Section Wires	3.00 stars
4.50 stars	Royal Trux - Accelerator	3.50 stars
4.00 stars	Don Caballero - What Burns Never Returns	4.00 stars
3.00 stars	Gorguts - Obscura	4.00 stars
2.50 stars	Bonnie 'Prince' Billy - I See a Darkness	3.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	4.00 stars
4.00 stars	Blur - 13	4.00 stars
3.50 stars	Add N to (X) - Avant Hard	3.50 stars
3.50 stars	Brainbombs - Urge to Kill	4.00 stars
3.00 stars	The Black Heart Procession - 2	3.00 stars
4.50 stars	U.S. Maple - Talker	3.50 stars
3.00 stars	Sigur Rós - Ágætis byrjun	4.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	3.00 stars
4.00 stars	Toumani Diabaté With Ballaké Sissoko - New Ancient Strings	3.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.50 stars
3.00 stars	The Get Up Kids - Something to Write Home About	3.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	3.50 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.00 stars
3.00 stars	Clinic - Internal Wrangler	3.00 stars
3.50 stars	Luomo - Vocalcity	3.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Electric Wizard - Dopethrone	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
3.00 stars	On the Might of Princes - Where You Are and Where You Want to Be	3.00 stars
4.00 stars	múm - Yesterday Was Dramatic - Today Is OK	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.00 stars	Cannibal Ox - The Cold Vein	3.50 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	3.50 stars
3.00 stars	pageninetynine - Document #8	4.00 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.00 stars	Björk - Vespertine	3.50 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	4.00 stars
4.00 stars	Converge - Jane Doe	5.00 stars
3.00 stars	Aesop Rock - Labor Days	3.50 stars
3.00 stars	Tomahawk - Tomahawk	3.00 stars
3.50 stars	Jay Munly - Jimmy Carter Syndrome	4.00 stars
4.00 stars	Indian Summer - Science 1994	4.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	3.50 stars
3.50 stars	Akufen - My Way	3.00 stars
3.00 stars	Sonic Youth - Murray Street	3.00 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	3.50 stars
4.00 stars	Interpol - Turn On the Bright Lights	3.50 stars
3.00 stars	The Dillinger Escape Plan with Mike Patton - Irony Is a Dead Scene	4.00 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	4.00 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.00 stars
3.00 stars	Sigur Rós - ( )	4.00 stars
3.00 stars	Bohren & der Club of Gore - Black Earth	4.00 stars
4.00 stars	Supersilent - 6	3.50 stars
3.50 stars	The Microphones - Mount Eerie	3.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	3.50 stars
3.00 stars	Cursive - The Ugly Organ	3.50 stars
