rental	Album	tmonk11
3.50 stars	Misfits - Walk Among Us	4.50 stars
4.50 stars	The Fall - Hex Enduction Hour	5.00 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	5.00 stars
4.00 stars	The Gun Club - Miami	5.00 stars
5.00 stars	Mission of Burma - Vs.	5.00 stars
3.50 stars	The Dream Syndicate - The Days of Wine and Roses	4.50 stars
3.50 stars	Dead Kennedys - Plastic Surgery Disasters	4.50 stars
4.00 stars	Dolly Mixture - Demonstration Tapes	5.00 stars
5.00 stars	Wipers - Over the Edge	5.00 stars
4.00 stars	The Smiths - The Smiths	4.50 stars
4.50 stars	Meat Puppets - Meat Puppets II	4.50 stars
3.50 stars	Prince and The Revolution - Purple Rain	4.50 stars
4.00 stars	Hüsker Dü - Zen Arcade	5.00 stars
4.50 stars	Staatsorchester Stuttgart / Lithuanian Chamber Orchestra / The 12 Cellists of the Berlin Philharmonic Orchestra / Dennis Russell Davies / Saulius Sondeckis / Gidon Kremer / Keith Jarrett / Tatjana Grindenko / Alfred Schnittke - Tabula rasa	4.50 stars
4.50 stars	The Replacements - Let It Be	5.00 stars
4.00 stars	Minutemen - Double Nickels on the Dime	5.00 stars
3.50 stars	Cocteau Twins - Treasure	4.50 stars
3.50 stars	The Smiths - Meat Is Murder	4.50 stars
4.00 stars	Meat Puppets - Up on the Sun	4.50 stars
4.00 stars	Mekons - Fear and Whiskey	5.00 stars
4.00 stars	The Fall - This Nation's Saving Grace	5.00 stars
4.00 stars	Big Black - Atomizer	4.50 stars
3.50 stars	Metallica - Master of Puppets	4.50 stars
3.50 stars	The Fall - Bend Sinister	4.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.50 stars
3.50 stars	Big Black - Songs About Fucking	4.50 stars
4.50 stars	The Bats - Daddy's Highway	5.00 stars
3.50 stars	Game Theory - Lolita Nation	4.50 stars
3.50 stars	The Feelies - Only Life	4.50 stars
4.00 stars	Galaxie 500 - Today	4.50 stars
4.00 stars	Pixies - Surfer Rosa	5.00 stars
4.00 stars	Joy Division - Substance 1977-1980	4.50 stars
4.00 stars	Sonic Youth - Daydream Nation	5.00 stars
3.50 stars	Dinosaur Jr - Bug	4.50 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.50 stars
4.50 stars	Minor Threat - Complete Discography	5.00 stars
4.50 stars	Pixies - Doolittle	4.50 stars
3.50 stars	Beastie Boys - Paul's Boutique	4.50 stars
3.50 stars	Bastro - Diablo Guapo	4.50 stars
4.00 stars	Galaxie 500 - On Fire	4.50 stars
4.00 stars	NoMeansNo - Wrong	5.00 stars
3.50 stars	Godflesh - Streetcleaner	4.50 stars
3.50 stars	The Gories - I Know You Fine, But How You Doin'	4.50 stars
3.50 stars	The Dead C - Trapdoor Fucking Exit	4.50 stars
4.00 stars	Sun City Girls - Torch of the Mystics	5.00 stars
3.50 stars	Sonic Youth - Goo	4.50 stars
3.50 stars	Devo - Hardcore Devo, Vol. 1: 74-77	4.50 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	4.50 stars
4.00 stars	The Jesus Lizard - Goat	5.00 stars
4.50 stars	Slint - Spiderland	4.50 stars
3.50 stars	The Ex + Tom Cora - Scrabbling at the Lock	4.50 stars
4.00 stars	Les Rallizes dénudés - '77 Live	5.00 stars
3.50 stars	Nirvana - Nevermind	4.50 stars
4.00 stars	Scratch Acid - The Greatest Gift	5.00 stars
4.00 stars	Talk Talk - Laughing Stock	5.00 stars
4.00 stars	Guided by Voices - Propeller	5.00 stars
5.00 stars	Pavement - Slanted and Enchanted	5.00 stars
