rental	Album	nervousb
3.50 stars	Pavement - Brighten the Corners	4.00 stars
3.00 stars	Sleater-Kinney - Dig Me Out	4.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.50 stars
3.50 stars	Duster - Stratosphere	4.00 stars
3.50 stars	Tortoise - TNT	4.50 stars
4.50 stars	Royal Trux - Accelerator	4.00 stars
3.00 stars	Smog - Knock Knock	4.00 stars
3.00 stars	Built to Spill - Keep It Like a Secret	4.00 stars
4.00 stars	Blur - 13	4.00 stars
3.50 stars	Add N to (X) - Avant Hard	3.50 stars
4.00 stars	Black Tambourine - Complete Recordings	3.50 stars
3.50 stars	Pavement - Terror Twilight	4.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	5.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.50 stars
3.00 stars	Lambchop - Nixon	4.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.50 stars
3.00 stars	Clinic - Internal Wrangler	3.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
3.50 stars	The Clientele - Suburban Light	3.50 stars
4.50 stars	Joy Division - Les Bains Douches 18 December 1979	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	3.50 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.00 stars
4.00 stars	Indian Summer - Science 1994	4.00 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.00 stars
4.00 stars	The Books - Thought for Food	4.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.00 stars
4.50 stars	Xiu Xiu - A Promise	4.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
4.00 stars	Deerhoof - Apple O'	4.00 stars
3.00 stars	Manitoba - Up in Flames	4.00 stars
3.50 stars	Yeah Yeah Yeahs - Fever to Tell	4.00 stars
3.50 stars	Broadcast - Haha Sound	4.00 stars
3.00 stars	Matmos - The Civil War	4.00 stars
4.00 stars	John Frusciante - Shadows Collide With People	4.00 stars
4.00 stars	of Montreal - Satanic Panic in the Attic	4.00 stars
3.50 stars	Devendra Banhart - Rejoicing in the Hands	3.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.50 stars
3.50 stars	Black Dice - Creature Comforts	4.00 stars
3.50 stars	The Fiery Furnaces - Blueberry Boat	4.00 stars
4.50 stars	Ariel Pink's Haunted Graffiti - The Doldrums	3.50 stars
2.50 stars	Bloc Party - Silent Alarm	3.50 stars
3.00 stars	Akron/Family - Akron/Family	3.50 stars
3.50 stars	Art Brut - Bang Bang Rock & Roll	3.50 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	4.50 stars
4.00 stars	Animal Collective - Feels	5.00 stars
3.50 stars	Battles - EP C / B EP	4.00 stars
5.00 stars	J Dilla - Donuts	4.00 stars
3.00 stars	Grizzly Bear - Yellow House	4.00 stars
3.50 stars	Xiu Xiu - The Air Force	3.50 stars
3.50 stars	Deerhoof - Friend Opportunity	4.00 stars
4.00 stars	Blonde Redhead - 23	4.00 stars
3.50 stars	Battles - Mirrored	4.00 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Burial - Untrue	4.00 stars
4.00 stars	MGMT - Oracular Spectacular	3.00 stars
3.50 stars	Beach House - Devotion	3.00 stars
2.50 stars	Cut Copy - In Ghost Colours	3.00 stars
2.50 stars	The Wave Pictures - Instant Coffee Baby	3.50 stars
4.50 stars	Fleet Foxes - Fleet Foxes	3.50 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	3.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	5.00 stars
