rental	Album	aokiji
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	4.00 stars
4.00 stars	Thee Oh Sees - Help	4.00 stars
3.50 stars	The Horrors - Primary Colours	3.00 stars
3.00 stars	Passion Pit - Manners	3.00 stars
3.50 stars	HEALTH - Get Color	3.50 stars
4.00 stars	Factums - Flowers	4.00 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	4.00 stars
3.00 stars	Christmas Island - Blackout Summer	4.00 stars
4.00 stars	The Flaming Lips - Embryonic	5.00 stars
3.00 stars	Vampire Weekend - Contra	2.50 stars
3.50 stars	Sun Araw - On Patrol	3.50 stars
3.50 stars	Merchandise - (Strange Songs) In the Dark	3.00 stars
4.00 stars	Iceage - New Brigade	4.00 stars
4.00 stars	Death Grips - Exmilitary	3.00 stars
4.00 stars	The Men - Leave Home	3.50 stars
4.50 stars	Unknown Mortal Orchestra - Unknown Mortal Orchestra	3.50 stars
4.00 stars	Danny Brown - XXX	3.50 stars
3.50 stars	Real Estate - Days	2.50 stars
3.50 stars	Thee Oh Sees / Total Control - Thee Oh Sees / Total Control	3.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	4.50 stars
4.50 stars	The Men - Open Your Heart	3.50 stars
3.50 stars	Lower - Walk on Heads	4.00 stars
4.00 stars	Lower Plenty - Hard Rubbish	4.00 stars
4.00 stars	Merchandise - Children of Desire	3.50 stars
3.50 stars	Death Grips - The Money Store	3.50 stars
5.00 stars	Parquet Courts - Light Up Gold	4.00 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.00 stars	Swans - The Seer	3.50 stars
3.50 stars	METZ - METZ	3.50 stars
4.00 stars	Mac DeMarco - 2	4.00 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.00 stars
3.50 stars	Alex Cameron - Jumping the Shark	4.00 stars
3.50 stars	My Bloody Valentine - m b v	3.00 stars
4.00 stars	Iceage - You're Nothing	4.00 stars
3.50 stars	The Men - New Moon	3.00 stars
3.00 stars	Counter Intuits - Sheets of Hits	4.00 stars
4.00 stars	Deerhunter - Monomania	4.00 stars
3.00 stars	Run the Jewels - Run the Jewels	3.50 stars
3.50 stars	Constant Mongrel - Heavy Breathing	3.50 stars
4.00 stars	Cuntz - Solid Mates	4.00 stars
4.00 stars	Melt-Banana - Fetch	3.00 stars
3.50 stars	Darkside - Psychic	3.50 stars
3.00 stars	The Body - I Shall Die Here	3.00 stars
3.50 stars	HTRK - Psychic 9-5 Club	4.00 stars
3.50 stars	Parquet Courts - Sunbathing Animal	4.00 stars
4.50 stars	Total Control - Typical System	4.00 stars
4.00 stars	Golden Pelicans - Golden Pelicans	4.50 stars
3.00 stars	Useless Eaters - Bleeding Moon	3.50 stars
3.00 stars	D'Angelo and The Vanguard - Black Messiah	4.00 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	4.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
4.00 stars	Wet Blankets - Rise of the Wet Blankets	3.50 stars
3.50 stars	Lightning Bolt - Fantasy Empire	3.50 stars
3.50 stars	Dawn of Humans - Slurping at the Cosmos Spine	4.00 stars
4.50 stars	Diät - Positive Energy	4.00 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.00 stars
3.00 stars	Ausmuteants - Band of the Future	4.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
4.00 stars	Tyvek - Origin of What	3.50 stars
3.00 stars	Taiwan Housing Project - Veblen Death Mask	4.00 stars
3.50 stars	Sheer Mag - Need to Feel Your Love	3.50 stars
4.00 stars	Protomartyr - Relatives in Descent	3.00 stars
4.00 stars	Bed Wettin' Bad Boys - Rot	4.00 stars
4.00 stars	Rik & The Pigs - A Child's Gator	4.00 stars
3.00 stars	Shark Toys - Labyrinths	4.00 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.50 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	4.00 stars
4.00 stars	Gee Tee - Gee Tee	4.00 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	3.00 stars
3.50 stars	Viagra Boys - Street Worms	3.50 stars
3.50 stars	Diät - Positive Disintegration	4.00 stars
3.50 stars	Uranium Club - The Cosmo Cleaners	4.00 stars
4.50 stars	Low Life - Downer Edn	4.00 stars
4.00 stars	The Screamers - Demos 1977-78	4.50 stars
4.00 stars	My Bloody Valentine - Loveless	4.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
3.50 stars	The New Pornographers - Twin Cinema	3.50 stars
