rental	Album	0lik
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
4.00 stars	Kendrick Lamar - Section.80	3.50 stars
4.00 stars	Danny Brown - XXX	3.50 stars
3.00 stars	Julia Holter - Tragedy	2.50 stars
3.50 stars	Real Estate - Days	4.00 stars
3.50 stars	James Ferraro - Far Side Virtual	2.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	3.50 stars
3.50 stars	Burial - Kindred EP	4.00 stars
3.50 stars	TOPS - Tender Opposites	3.50 stars
4.00 stars	Merchandise - Children of Desire	3.00 stars
4.00 stars	Dean Blunt & Inga Copeland - Black Is Beautiful	3.50 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
4.00 stars	Beach House - Bloom	3.50 stars
3.00 stars	Japandroids - Celebration Rock	3.00 stars
3.50 stars	Frank Ocean - channel ORANGE	3.50 stars
3.50 stars	Goat - World Music	3.00 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.00 stars	Swans - The Seer	4.00 stars
4.00 stars	Grizzly Bear - Shields	3.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.00 stars
4.00 stars	Tame Impala - Lonerism	4.00 stars
3.50 stars	METZ - METZ	3.50 stars
4.00 stars	Mac DeMarco - 2	4.00 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.00 stars
3.50 stars	Tim Hecker & Daniel Lopatin - Instrumental Tourist	3.00 stars
3.00 stars	FIDLAR - FIDLAR	3.50 stars
3.50 stars	My Bloody Valentine - m b v	4.00 stars
4.00 stars	Iceage - You're Nothing	3.00 stars
3.50 stars	Hookworms - Pearl Mystic	3.00 stars
3.50 stars	The Men - New Moon	3.00 stars
3.50 stars	Merchandise - Totale Nite	3.00 stars
4.00 stars	Deerhunter - Monomania	4.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	3.00 stars
3.50 stars	Dirty Beaches - Drifters / Love Is the Devil	3.50 stars
3.50 stars	Deafheaven - Sunbather	3.50 stars
3.00 stars	Kanye West - Yeezus	3.50 stars
3.00 stars	Run the Jewels - Run the Jewels	4.00 stars
4.00 stars	Fuck Buttons - Slow Focus	3.50 stars
3.50 stars	Diarrhea Planet - I'm Rich Beyond Your Wildest Dreams	3.00 stars
3.50 stars	Julia Holter - Loud City Song	3.50 stars
3.50 stars	Forest Swords - Engravings	3.50 stars
3.50 stars	Chelsea Wolfe - Pain Is Beauty	3.50 stars
3.00 stars	Lebanon Hanover - Tomb for Two	2.50 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	4.00 stars
4.00 stars	Melt-Banana - Fetch	3.00 stars
3.50 stars	Darkside - Psychic	3.50 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	3.50 stars
3.00 stars	Friendzone - DX	3.00 stars
3.50 stars	DJ Rashad - Double Cup	3.00 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.00 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	3.50 stars
4.00 stars	Mac DeMarco - Salad Days	4.00 stars
3.00 stars	Todd Terje - It's Album Time	3.50 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
3.00 stars	Ben Frost - A U R O R A	3.50 stars
3.50 stars	Sharon Van Etten - Are We There	3.00 stars
3.50 stars	Parquet Courts - Sunbathing Animal	3.50 stars
2.50 stars	Ty Segall - Manipulator	3.50 stars
4.00 stars	Iceage - Plowing Into the Field of Love	3.50 stars
3.50 stars	Run the Jewels - Run the Jewels 2	4.00 stars
3.00 stars	Useless Eaters - Bleeding Moon	3.00 stars
4.00 stars	Parkay Quarts - Content Nausea	3.00 stars
3.50 stars	Lightning Bolt - Fantasy Empire	3.50 stars
4.00 stars	Lower Dens - Escape From Evil	3.50 stars
4.00 stars	Sierść - Sierść Sierść Sierść	3.50 stars
3.50 stars	Speedy Ortiz - Foil Deer	3.50 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	3.50 stars
3.50 stars	Bully - Feels Like	3.00 stars
3.50 stars	Mac DeMarco - Another One	3.50 stars
4.50 stars	Beach House - Depression Cherry	3.50 stars
3.00 stars	FIDLAR - Too	3.50 stars
4.50 stars	Diät - Positive Energy	3.50 stars
4.00 stars	Julia Holter - Have You in My Wilderness	4.00 stars
3.50 stars	Stara Rzeka - Zamknęły się oczy ziemi	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.00 stars
3.50 stars	Big Ups - Before a Million Universes	3.00 stars
3.50 stars	Tim Hecker - Love Streams	3.50 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	3.00 stars
3.00 stars	White Lung - Paradise	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	3.00 stars
3.00 stars	Jessy Lanza - Oh No	3.00 stars
3.50 stars	Car Seat Headrest - Teens of Denial	3.50 stars
3.50 stars	PUP - The Dream Is Over	3.50 stars
3.50 stars	The Avalanches - Wildflower	3.50 stars
4.00 stars	GØGGS - GØGGS	3.00 stars
3.00 stars	Blood Orange - Freetown Sound	3.00 stars
4.00 stars	Angel Olsen - MY WOMAN	3.00 stars
3.50 stars	Preoccupations - Preoccupations	4.00 stars
4.50 stars	The Men - Devil Music	3.50 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
4.00 stars	IDLES - Brutalism	4.00 stars
3.50 stars	Ulrika Spacek - Modern English Decoration	3.50 stars
3.50 stars	METZ - Strange Peace	3.00 stars
4.00 stars	Protomartyr - Relatives in Descent	3.00 stars
4.00 stars	King Krule - The Ooz	3.50 stars
3.50 stars	John Maus - Screen Memories	3.00 stars
4.00 stars	Daniele Luppi & Parquet Courts - MILANO	3.00 stars
3.00 stars	Shame - Songs of Praise	3.50 stars
4.00 stars	JPEGMAFIA - Veteran	3.50 stars
3.00 stars	Jakub Lemiszewski - Bubblegum New Age	3.50 stars
3.00 stars	The Voidz - Virtue	3.50 stars
4.00 stars	Beach House - 7	4.00 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	3.50 stars
3.50 stars	Snail Mail - Lush	3.00 stars
3.00 stars	George Clanton - Slide	3.50 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	3.50 stars
4.00 stars	Aldous Harding - Designer	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
4.00 stars	of Montreal - Hissing Fauna, Are You the Destroyer?	3.50 stars
4.00 stars	Angel Olsen - Burn Your Fire for No Witness	3.50 stars
4.00 stars	Oneohtrix Point Never - Replica	5.00 stars
4.00 stars	Ought - Sun Coming Down	3.50 stars
4.00 stars	OutKast - ATLiens	4.50 stars
3.00 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	3.00 stars
3.50 stars	Palm - Rock Island	3.50 stars
5.00 stars	Parquet Courts - Human Performance	4.00 stars
4.00 stars	Ariel Pink - Pom Pom	3.50 stars
3.50 stars	Ariel Pink - Dedicated to Bobby Jameson	4.00 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	4.00 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	4.00 stars
3.50 stars	Polvo - Celebrate the New Dark Age	4.00 stars
4.00 stars	Viet Cong - Cassette	3.50 stars
4.00 stars	Viet Cong - Viet Cong	5.00 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.50 stars
4.00 stars	Protomartyr - The Agent Intellect	3.50 stars
3.00 stars	Public Enemy - It Takes a Nation of Millions to Hold Us Back	4.00 stars
3.00 stars	The Radio Dept. - Lesser Matters	3.50 stars
4.00 stars	Radiohead - OK Computer	4.00 stars
4.00 stars	Radiohead - Kid A	4.00 stars
3.50 stars	The Raincoats - The Raincoats	3.50 stars
4.00 stars	Ramones - Ramones	3.50 stars
3.50 stars	Jay Reatard - Blood Visions	3.50 stars
3.50 stars	Rolling Blackouts C.F. - Hope Downs	3.50 stars
3.50 stars	Shellac - 1000 Hurts	3.50 stars
3.50 stars	Sierść - It's Easy	3.50 stars
3.50 stars	The Smiths - Hatful of Hollow	3.50 stars
4.00 stars	The Smiths - The Queen Is Dead	4.50 stars
