rental	Album	meatierwhore
5.00 stars	Wipers - Over the Edge	4.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	3.50 stars
3.50 stars	Violent Femmes - Violent Femmes	4.00 stars
3.50 stars	R.E.M. - Murmur	3.50 stars
3.50 stars	The Chameleons - Script of the Bridge	3.50 stars
3.00 stars	Saccharine Trust - Surviving You, Always	3.50 stars
3.50 stars	Butthole Surfers - Psychic...Powerless...Another Man's Sac	3.00 stars
3.50 stars	Manuel Göttsching - E2-E4	4.00 stars
3.50 stars	Black Flag - My War	3.50 stars
3.00 stars	The Gun Club - The Las Vegas Story	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.00 stars
4.50 stars	The Replacements - Let It Be	4.50 stars
4.00 stars	Minutemen - Double Nickels on the Dime	4.00 stars
4.00 stars	Mekons - Fear and Whiskey	3.50 stars
3.50 stars	Hüsker Dü - Flip Your Wig	3.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.00 stars
3.00 stars	The Jesus and Mary Chain - Psychocandy	3.50 stars
3.50 stars	Sonic Youth - EVOL	4.50 stars
3.50 stars	Felt - Forever Breathes the Lonely Word	3.50 stars
3.00 stars	XTC - Skylarking	3.50 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	4.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	5.00 stars
4.50 stars	The Bats - Daddy's Highway	3.50 stars
3.50 stars	The Feelies - Only Life	4.00 stars
4.00 stars	Galaxie 500 - Today	3.50 stars
4.00 stars	Pixies - Surfer Rosa	5.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	Dinosaur Jr - Bug	4.50 stars
3.50 stars	Mudhoney - Superfuzz Bigmuff	4.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	3.50 stars
4.50 stars	Minor Threat - Complete Discography	4.00 stars
4.50 stars	Pixies - Doolittle	5.00 stars
3.50 stars	The Cure - Disintegration	4.00 stars
3.50 stars	Beastie Boys - Paul's Boutique	4.00 stars
4.00 stars	Galaxie 500 - On Fire	3.50 stars
4.00 stars	NoMeansNo - Wrong	5.00 stars
3.50 stars	The Gories - I Know You Fine, But How You Doin'	4.50 stars
4.00 stars	Sun City Girls - Torch of the Mystics	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - The Good Son	3.50 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.00 stars	Thee Headcoats - Heavens to Murgatroyd, Even! It's Thee Headcoats! (Already)	4.00 stars
3.50 stars	Ride - Nowhere	2.50 stars
4.00 stars	The Jesus Lizard - Goat	4.50 stars
4.50 stars	Slint - Spiderland	5.00 stars
4.00 stars	Scratch Acid - The Greatest Gift	4.00 stars
4.00 stars	Talk Talk - Laughing Stock	3.00 stars
3.50 stars	The Terminals - Touch	4.00 stars
3.50 stars	Dadamah - This Is Not a Dream	4.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.00 stars
4.00 stars	Cows - 'Cunning Stunts'	4.00 stars
4.00 stars	The Jesus Lizard - Liar	5.00 stars
3.50 stars	Slowdive - Souvlaki	3.50 stars
3.00 stars	Fugazi - In on the Kill Taker	2.50 stars
3.00 stars	Stereolab - Transient Random-Noise Bursts With Announcements	4.00 stars
3.00 stars	Seefeel - Quique	4.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	4.00 stars
4.00 stars	Disco Inferno - D. I. Go Pop	3.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works Volume II	4.00 stars
3.50 stars	Bedhead - WhatFunLifeWas	4.00 stars
3.00 stars	Drive Like Jehu - Yank Crime	3.50 stars
3.00 stars	Kyuss - Kyuss [Welcome to Sky Valley]	3.50 stars
3.50 stars	Portishead - Dummy	4.50 stars
4.00 stars	Sebadoh - Bakesale	3.50 stars
3.50 stars	Prolapse - Pointless Walks to Dismal Places	3.50 stars
3.50 stars	The Embarrassment - Heyday: 1979-1983	4.00 stars
3.50 stars	Pavement - Wowee Zowee	4.00 stars
3.50 stars	Flying Saucer Attack - Further	3.00 stars
3.50 stars	Sonic Youth - Washing Machine	3.00 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	3.50 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	3.50 stars
3.50 stars	Gastr del Sol - Upgrade & Afterlife	3.50 stars
3.00 stars	Beck - Odelay	4.00 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	3.50 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.50 stars
3.50 stars	Pavement - Brighten the Corners	3.50 stars
3.00 stars	Elliott Smith - Either / Or	3.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	3.50 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	4.00 stars
3.00 stars	Cows - Sorry in Pig Minor	3.50 stars
4.00 stars	Tortoise - TNT	3.50 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	4.00 stars
4.50 stars	Royal Trux - Accelerator	3.50 stars
4.00 stars	Don Caballero - What Burns Never Returns	3.00 stars
3.00 stars	Smog - Knock Knock	3.00 stars
4.00 stars	Black Tambourine - Complete Recordings	3.50 stars
3.50 stars	Pavement - Terror Twilight	3.00 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.00 stars
3.00 stars	Dirty Three - Whatever You Love, You Are	4.00 stars
3.00 stars	Clinic - Internal Wrangler	4.00 stars
3.50 stars	Queens of the Stone Age - Rated R	4.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	2.50 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	3.50 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	4.00 stars
3.50 stars	Ted Leo / Pharmacists - The Tyranny of Distance	3.00 stars
4.00 stars	The Shins - Oh, Inverted World	4.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	3.00 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	4.00 stars
4.00 stars	Theoretical Girls - Theoretical Girls	3.50 stars
3.00 stars	Sigur Rós - ( )	3.50 stars
3.50 stars	The Necks - Drive By	4.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
3.00 stars	Sleep - Dopesmoker	3.50 stars
3.00 stars	Boris - あくまのうた (Akuma no Uta)	3.50 stars
3.50 stars	Liars - They Were Wrong, So We Drowned	2.50 stars
3.50 stars	Animal Collective - Sung Tongs	2.50 stars
4.00 stars	Reigning Sound - Too Much Guitar	4.50 stars
4.00 stars	Earth - Hex; or Printing in the Infernal Method	3.50 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	4.00 stars
4.00 stars	Boris - Pink	4.00 stars
4.50 stars	Coil - The Ape of Naples	4.00 stars
3.50 stars	Belong - October Language	3.50 stars
