rental	Album	Marioman42
3.50 stars	Kyuss - Kyuss [Welcome to Sky Valley]	4.00 stars
5.00 stars	Guided by Voices - Bee Thousand	4.00 stars
3.50 stars	Portishead - Dummy	3.50 stars
4.00 stars	Sebadoh - Bakesale	3.00 stars
4.00 stars	Shellac - At Action Park	3.50 stars
3.50 stars	Autechre - Amber	3.50 stars
4.00 stars	Oval - 94 Diskont	3.00 stars
3.00 stars	Slowdive - Pygmalion	3.50 stars
4.50 stars	Three-6 Mafia - Mystic Stylez	3.50 stars
3.50 stars	Fugazi - Red Medicine	3.50 stars
3.50 stars	Autechre - Tri repetae	4.00 stars
3.50 stars	Ground-Zero - 革命京劇 Revolutionary Pekinese Opera Ver.1.28 (Kakumeikyōgeki)	4.00 stars
3.50 stars	Mainliner - Mellow Out	4.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	3.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	3.00 stars
3.00 stars	Burzum - Filosofem	3.50 stars
3.50 stars	Unwound - Repetition	4.00 stars
3.50 stars	Cardiacs - Sing to God	3.00 stars
3.00 stars	Beck - Odelay	2.50 stars
4.00 stars	Weezer - Pinkerton	4.50 stars
3.50 stars	Swans - Soundtracks for the Blind	4.50 stars
3.00 stars	Fishmans - Long Season	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.50 stars
4.00 stars	Laddio Bolocko - Strange Warmings of Laddio Bolocko	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	3.00 stars
3.00 stars	Elliott Smith - Either / Or	3.50 stars
3.00 stars	Sleater-Kinney - Dig Me Out	3.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
3.00 stars	Squarepusher - Hard Normal Daddy	4.00 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	4.00 stars
3.00 stars	µ-Ziq - Lunatic Harness	3.50 stars
3.50 stars	lowercase - Kill the Lights	3.50 stars
3.00 stars	Björk - Homogenic	3.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	3.00 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	3.00 stars
3.00 stars	AIR - Moon Safari	4.00 stars
3.50 stars	GAS - Zauberberg	3.50 stars
3.50 stars	Duster - Stratosphere	4.00 stars
3.50 stars	Tortoise - TNT	3.00 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	4.00 stars
4.00 stars	Don Caballero - What Burns Never Returns	4.00 stars
3.00 stars	Gorguts - Obscura	3.50 stars
3.00 stars	Mercury Rev - Deserter's Songs	3.50 stars
3.50 stars	GAS - Königsforst	3.50 stars
2.50 stars	Bonnie 'Prince' Billy - I See a Darkness	3.00 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	3.50 stars
3.50 stars	Brainbombs - Urge to Kill	4.00 stars
4.00 stars	Black Tambourine - Complete Recordings	4.00 stars
3.00 stars	Sigur Rós - Ágætis byrjun	4.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
4.00 stars	Vladislav Delay - Multila	4.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	3.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.00 stars
3.50 stars	Electric Wizard - Dopethrone	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	3.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.00 stars	pageninetynine - Document #8	3.00 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.00 stars	maudlin of the Well - Bath	3.50 stars
3.00 stars	Björk - Vespertine	3.50 stars
4.00 stars	Converge - Jane Doe	3.50 stars
3.50 stars	Fugazi - The Argument	4.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.50 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	4.00 stars
4.00 stars	Indian Summer - Science 1994	3.50 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	4.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	3.50 stars
3.00 stars	The Dillinger Escape Plan with Mike Patton - Irony Is a Dead Scene	3.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	3.50 stars
3.00 stars	Bohren & der Club of Gore - Black Earth	3.50 stars
4.00 stars	Supersilent - 6	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	3.50 stars
3.00 stars	Sleep - Dopesmoker	4.00 stars
4.00 stars	Four Tet - Rounds	3.50 stars
3.50 stars	Boris - あくまのうた (Akuma no Uta)	3.50 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	4.00 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	4.00 stars
2.50 stars	Sachiko M, Toshimaru Nakamura & Otomo Yoshihide - Good Morning Good Night	3.00 stars
3.00 stars	Max Richter - The Blue Notebooks	3.50 stars
4.00 stars	Madvillain - Madvillainy	4.50 stars
4.00 stars	Reigning Sound - Too Much Guitar	4.00 stars
3.50 stars	Mastodon - Leviathan	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	4.00 stars
4.00 stars	Earth - Hex; or Printing in the Infernal Method	3.00 stars
4.00 stars	Animal Collective - Feels	3.00 stars
4.00 stars	Boris - Pink	4.50 stars
3.50 stars	Ryoji Ikeda - dataplex	3.50 stars
4.50 stars	Coil - The Ape of Naples	4.00 stars
5.00 stars	J Dilla - Donuts	4.50 stars
4.00 stars	The Goslings - Grandeur of Hair	3.50 stars
3.50 stars	Battles - Mirrored	3.00 stars
3.50 stars	The Angelic Process - Weighing Souls With Sand	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	3.00 stars
