rental	Album	Shumway
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	4.00 stars
4.00 stars	Public Image Ltd - Public Image	4.00 stars
4.00 stars	Black Flag - Nervous Breakdown	3.50 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	3.00 stars
3.50 stars	Contortions - Buy	4.50 stars
4.00 stars	The Pop Group - Y	4.00 stars
4.00 stars	Devo - Duty Now for the Future	4.00 stars
4.00 stars	Joy Division - Unknown Pleasures	5.00 stars
3.50 stars	Talking Heads - Fear of Music	4.50 stars
4.50 stars	The Slits - Cut	4.00 stars
4.50 stars	Buzzcocks - Singles Going Steady	4.50 stars
4.00 stars	Wire - 154	4.50 stars
3.50 stars	Yellow Magic Orchestra - Solid State Survivor	4.00 stars
3.50 stars	The Damned - Machine Gun Etiquette	4.00 stars
4.00 stars	PiL - Metal Box	4.50 stars
3.00 stars	Polyrock - Polyrock	4.00 stars
3.00 stars	R.L. Crutchfield's Dark Day - Exterminating Angel	4.00 stars
3.00 stars	Glaxo Babies - Nine Months to the Disco	4.00 stars
3.50 stars	Suicide - Alan Vega · Martin Rev	4.00 stars
3.50 stars	Young Marble Giants - Colossal Youth	4.00 stars
3.50 stars	The Durutti Column - The Return of The Durutti Column	4.00 stars
3.50 stars	The Feelies - Crazy Rhythms	4.50 stars
3.50 stars	Tuxedomoon - Half-Mute	4.00 stars
3.50 stars	The Pop Group - For How Much Longer Do We Tolerate Mass Murder?	3.50 stars
3.50 stars	The Cramps - Songs the Lord Taught Us	4.50 stars
4.00 stars	X - Los Angeles	4.00 stars
4.00 stars	The Soft Boys - Underwater Moonlight	4.50 stars
3.00 stars	Prince - Dirty Mind	4.00 stars
4.00 stars	The Units - Digital Stimulation	4.00 stars
3.50 stars	The Monochrome Set - Love Zombies	4.00 stars
4.00 stars	The Fall - Grotesque (After the Gramme)	4.50 stars
3.50 stars	The Jam - Sound Affects	4.00 stars
3.00 stars	The Flesh Eaters - A Minute to Pray, a Second to Die	3.50 stars
4.00 stars	Television Personalities - ...And Don't the Kids Just Love It	4.00 stars
3.50 stars	Gang of Four - Solid Gold	4.00 stars
3.50 stars	The Cure - Faith	4.50 stars
3.50 stars	X - Wild Gift	4.00 stars
4.00 stars	The Psychedelic Furs - Talk Talk Talk	4.50 stars
3.50 stars	Oingo Boingo - Only a Lad	3.50 stars
3.00 stars	Section 25 - Always Now	4.00 stars
3.00 stars	The Replacements - Sorry Ma, Forgot to Take Out the Trash	3.50 stars
4.00 stars	The Gun Club - Fire of Love	4.50 stars
4.00 stars	This Heat - Deceit	4.50 stars
3.50 stars	Rip Rig + Panic - God	4.00 stars
3.50 stars	Einstürzende Neubauten - Kollaps	4.00 stars
4.00 stars	Glenn Branca - The Ascension	4.00 stars
3.50 stars	Soft Cell - Non-Stop Erotic Cabaret	4.50 stars
3.50 stars	Felt - Crumbling the Antiseptic Beauty	4.00 stars
3.50 stars	Laughing Clowns - Mr. Uddich-Schmuddich Goes to Town	3.50 stars
4.50 stars	The Fall - Hex Enduction Hour	4.50 stars
4.00 stars	The Cure - Pornography	5.00 stars
3.50 stars	Savage Republic - Tragic Figures	4.00 stars
3.50 stars	Bill Nelson - The Love That Whirls (Diary of a Thinking Heart)	4.00 stars
4.00 stars	Wall of Voodoo - Call of the West	4.00 stars
4.00 stars	The Gun Club - Miami	4.50 stars
5.00 stars	Mission of Burma - Vs.	4.00 stars
3.50 stars	The Dream Syndicate - The Days of Wine and Roses	4.00 stars
3.00 stars	Cleaners From Venus - Midnight Cleaners	3.50 stars
3.50 stars	Psychic TV - Force the Hand of Chance	3.50 stars
3.00 stars	Death in June - The Guilty Have No Pride	3.50 stars
3.50 stars	Minutemen - What Makes a Man Start Fires?	3.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	4.00 stars
3.50 stars	R.E.M. - Murmur	4.50 stars
3.50 stars	Butthole Surfers - Butthole Surfers	4.00 stars
3.50 stars	The Chameleons - Script of the Bridge	4.50 stars
4.00 stars	The Smiths - The Smiths	5.00 stars
4.50 stars	Meat Puppets - Meat Puppets II	4.00 stars
3.00 stars	The Gun Club - The Las Vegas Story	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.00 stars
4.50 stars	The Replacements - Let It Be	4.50 stars
4.00 stars	Minutemen - Double Nickels on the Dime	4.00 stars
3.50 stars	Cocteau Twins - Treasure	4.50 stars
3.00 stars	Camper Van Beethoven - Telephone Free Landslide Victory	3.50 stars
3.00 stars	Tears for Fears - Songs From the Big Chair	4.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	4.50 stars
3.50 stars	Killing Joke - Night Time	4.50 stars
4.00 stars	Meat Puppets - Up on the Sun	4.00 stars
3.00 stars	Big Black - Racer-X	4.00 stars
4.00 stars	Prefab Sprout - Steve McQueen	4.00 stars
4.00 stars	Mekons - Fear and Whiskey	4.00 stars
3.50 stars	Hüsker Dü - Flip Your Wig	3.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	5.00 stars
4.00 stars	Big Black - Atomizer	4.00 stars
4.00 stars	Momus - Circus Maximus	4.50 stars
4.50 stars	The Chameleons - Strange Times	4.00 stars
3.00 stars	XTC - Skylarking	4.00 stars
3.00 stars	Loop - Heaven's End	4.00 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	4.00 stars
3.00 stars	Prince - Sign "☮" the Times	4.00 stars
3.50 stars	Einstürzende Neubauten - Fünf auf der nach oben offenen Richterskala	4.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.50 stars
3.50 stars	Big Black - Songs About Fucking	4.00 stars
4.50 stars	The Bats - Daddy's Highway	4.00 stars
3.50 stars	Game Theory - Lolita Nation	4.00 stars
3.00 stars	Nuno Canavarro - Plux Quba	4.00 stars
3.50 stars	The Feelies - Only Life	4.00 stars
3.50 stars	Pussy Galore - Sugarshit Sharp	4.00 stars
4.00 stars	Galaxie 500 - Today	4.50 stars
4.00 stars	Pixies - Surfer Rosa	5.00 stars
3.50 stars	Momus - Tender Pervert	4.50 stars
4.00 stars	Joy Division - Substance 1977-1980	4.50 stars
3.50 stars	Cocteau Twins - Blue Bell Knoll	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	5.00 stars
3.50 stars	Dinosaur Jr - Bug	4.50 stars
3.50 stars	Mudhoney - Superfuzz Bigmuff	4.00 stars
3.50 stars	Beat Happening - Black Candy	4.00 stars
4.50 stars	Pixies - Doolittle	5.00 stars
3.50 stars	Beastie Boys - Paul's Boutique	3.00 stars
3.50 stars	The Wedding Present - Bizarro	4.50 stars
4.00 stars	Galaxie 500 - On Fire	4.50 stars
4.00 stars	NoMeansNo - Wrong	3.00 stars
3.50 stars	Godflesh - Streetcleaner	3.50 stars
3.00 stars	The Chills - Submarine Bells	4.00 stars
4.00 stars	Sun City Girls - Torch of the Mystics	3.50 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	3.50 stars
4.00 stars	The Jesus Lizard - Goat	4.00 stars
4.50 stars	Slint - Spiderland	4.50 stars
3.00 stars	The Legendary Pink Dots - The Maria Dimension	4.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.00 stars
3.50 stars	Nirvana - Nevermind	4.50 stars
3.50 stars	Tar - Jackson	3.50 stars
4.00 stars	Scratch Acid - The Greatest Gift	4.00 stars
3.00 stars	Superchunk - No Pocky for Kitty	4.00 stars
4.00 stars	Talk Talk - Laughing Stock	4.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.50 stars
3.50 stars	Polvo - Cor-Crane Secret	4.00 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.00 stars
4.00 stars	The Jesus Lizard - Liar	4.00 stars
4.00 stars	Moonshake - Eva Luna	4.00 stars
3.00 stars	Rage Against the Machine - Rage Against the Machine	3.50 stars
3.50 stars	Harry Pussy - Harry Pussy	3.00 stars
3.50 stars	Man or Astro-Man? - Is It...	4.00 stars
3.00 stars	Superchunk - On the Mouth	4.00 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	3.50 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
3.00 stars	Fugazi - In on the Kill Taker	4.00 stars
3.00 stars	Seam - The Problem With Me	4.00 stars
4.50 stars	Yo La Tengo - Painful	4.00 stars
3.00 stars	Eric's Trip - Love Tara	3.50 stars
3.00 stars	Autechre - Incunabula	4.00 stars
3.50 stars	Robert Hood - Internal Empire	3.50 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	5.00 stars
3.50 stars	Low - I Could Live in Hope	4.50 stars
4.00 stars	Disco Inferno - D. I. Go Pop	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works Volume II	4.00 stars
3.50 stars	Bedhead - WhatFunLifeWas	4.00 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.50 stars
3.00 stars	Sunny Day Real Estate - Diary	4.00 stars
3.00 stars	Scorn - Evanescence	3.50 stars
3.00 stars	Drive Like Jehu - Yank Crime	4.00 stars
3.00 stars	Lush - Split	4.00 stars
3.00 stars	Kyuss - Kyuss [Welcome to Sky Valley]	3.00 stars
4.50 stars	Guided by Voices - Bee Thousand	4.50 stars
4.00 stars	Sebadoh - Bakesale	4.50 stars
3.50 stars	Shellac - At Action Park	4.00 stars
3.50 stars	Autechre - Amber	4.50 stars
3.50 stars	Prolapse - Pointless Walks to Dismal Places	4.00 stars
3.50 stars	The Embarrassment - Heyday: 1979-1983	4.00 stars
3.00 stars	Slowdive - Pygmalion	4.00 stars
4.00 stars	Tindersticks - Tindersticks [II]	5.00 stars
3.50 stars	Pavement - Wowee Zowee	4.50 stars
3.50 stars	Flying Saucer Attack - Further	4.50 stars
3.00 stars	The Apples in Stereo - Fun Trick Noisemaker	4.00 stars
2.50 stars	Supergrass - I Should Coco	3.50 stars
3.50 stars	Fugazi - Red Medicine	3.50 stars
3.50 stars	Don Caballero - Don Caballero 2	4.00 stars
3.50 stars	Sonic Youth - Washing Machine	4.50 stars
3.50 stars	Mr. Bungle - Disco Volante	3.50 stars
3.00 stars	The Magnetic Fields - Get Lost	3.50 stars
3.50 stars	Autechre - Tri repetae	4.00 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	3.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.50 stars
3.50 stars	Sixteen Horsepower - Sackcloth 'n' Ashes	4.00 stars
3.00 stars	The Auteurs - After Murder Park	4.00 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.50 stars
3.00 stars	Neutral Milk Hotel - On Avery Island	4.00 stars
3.50 stars	Guided by Voices - Under the Bushes Under the Stars	4.00 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	3.00 stars
3.50 stars	Belle and Sebastian - Tigermilk	4.50 stars
3.50 stars	Cardiacs - Sing to God	3.50 stars
3.50 stars	Gastr del Sol - Upgrade & Afterlife	4.00 stars
3.50 stars	Eels - Beautiful Freak	4.50 stars
3.50 stars	Swans - Soundtracks for the Blind	4.00 stars
3.00 stars	Fishmans - Long Season	3.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.00 stars
3.00 stars	Labradford - Labradford	4.00 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.50 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.50 stars
3.50 stars	Pavement - Brighten the Corners	4.50 stars
3.00 stars	Sleater-Kinney - Dig Me Out	3.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
3.00 stars	Squarepusher - Hard Normal Daddy	3.50 stars
3.50 stars	lowercase - Kill the Lights	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.50 stars
3.50 stars	Labradford - Mi media naranja	4.00 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	4.00 stars
3.50 stars	GAS - Zauberberg	4.00 stars
3.50 stars	Gastr del Sol - Camoufleur	4.00 stars
3.50 stars	Duster - Stratosphere	3.50 stars
4.00 stars	Tortoise - TNT	4.00 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	4.50 stars
4.50 stars	Royal Trux - Accelerator	4.00 stars
4.00 stars	Don Caballero - What Burns Never Returns	4.00 stars
3.50 stars	Blur - 13	4.50 stars
3.50 stars	Add N to (X) - Avant Hard	3.00 stars
3.50 stars	lowercase - The Going Away Present	4.00 stars
4.00 stars	Black Tambourine - Complete Recordings	4.00 stars
3.00 stars	The Black Heart Procession - 2	4.00 stars
3.50 stars	Pavement - Terror Twilight	4.50 stars
4.50 stars	U.S. Maple - Talker	4.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.50 stars
4.00 stars	Mr. Bungle - California	4.00 stars
2.50 stars	Beulah - When Your Heartstrings Break	3.50 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	4.00 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.50 stars
3.00 stars	Dirty Three - Whatever You Love, You Are	4.00 stars
3.00 stars	Luomo - Vocalcity	4.00 stars
3.50 stars	Queens of the Stone Age - Rated R	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
3.50 stars	The Clientele - Suburban Light	4.00 stars
5.00 stars	Life Without Buildings - Any Other City	4.00 stars
3.50 stars	múm - Yesterday Was Dramatic - Today Is OK	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
4.00 stars	The Shins - Oh, Inverted World	4.50 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.00 stars	Aesop Rock - Labor Days	3.50 stars
3.50 stars	Fugazi - The Argument	4.00 stars
3.00 stars	Tomahawk - Tomahawk	4.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	4.00 stars
3.50 stars	Hood - Cold House	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.00 stars
3.50 stars	Jim O'Rourke - I'm Happy, and I'm Singing, and a 1, 2, 3, 4	4.00 stars
3.50 stars	Rhys Chatham - An Angel Moves Too Fast to See: Selected Works 1971-1989	4.00 stars
3.00 stars	Michael Mayer - Immer	4.00 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	4.00 stars
3.50 stars	Farben - Textstar	3.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.50 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	3.00 stars
3.00 stars	Sonic Youth - Murray Street	4.00 stars
3.50 stars	Hot Snakes - Suicide Invoice	4.00 stars
