rental	Album	abetco
4.00 stars	Animal Collective - Feels	4.00 stars
4.00 stars	Boris - Pink	3.00 stars
3.50 stars	Ryoji Ikeda - dataplex	2.50 stars
4.50 stars	Coil - The Ape of Naples	4.00 stars
3.50 stars	Sibylle Baier - Colour Green	3.00 stars
5.00 stars	J Dilla - Donuts	4.50 stars
3.50 stars	Belong - October Language	4.00 stars
4.00 stars	John Maus - Songs	3.50 stars
3.00 stars	Grizzly Bear - Yellow House	3.00 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	4.00 stars
4.00 stars	Burial - Untrue	3.00 stars
4.00 stars	John Maus - Love Is Real	4.50 stars
4.00 stars	MGMT - Oracular Spectacular	4.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.00 stars
3.50 stars	Viper - You'll Cowards Don't Even Smoke Crack	3.50 stars
3.50 stars	Beach House - Devotion	2.50 stars
3.50 stars	Helvetia - The Acrobats	3.00 stars
3.50 stars	Jacaszek - Treny	3.50 stars
2.50 stars	Midori - あらためまして、はじめまして、ミドリです。 (Aratamemashite, hajimemashite, Midori desu.)	3.50 stars
3.00 stars	DJ Sprinkles - Midtown 120 Blues	4.00 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	3.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
3.50 stars	Grippers Nother Onesers - Live at Slimer Beach	2.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	3.50 stars
3.50 stars	Japandroids - Post-Nothing	3.00 stars
3.50 stars	The Horrors - Primary Colours	3.00 stars
4.00 stars	Alex G - Race	3.50 stars
3.00 stars	Vampire Weekend - Contra	3.00 stars
4.50 stars	MGMT - Congratulations	3.50 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.00 stars
3.00 stars	Shinsei Kamattechan - つまんね (Tsumanne)	3.50 stars
4.50 stars	Graham Lambkin - Amateur Doubles	4.00 stars
4.00 stars	Iceage - New Brigade	4.00 stars
3.50 stars	Destroyer - Kaputt	3.50 stars
3.50 stars	Yuck - Yuck	3.00 stars
3.50 stars	Metronomy - The English Riviera	3.00 stars
4.00 stars	Grouper - A I A: Alien Observer	3.50 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	3.50 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
3.50 stars	Alex G - Winner	3.00 stars
4.00 stars	Danny Brown - XXX	3.00 stars
3.50 stars	Alex G - Easy	3.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	4.00 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	3.00 stars
4.00 stars	Alex G - Rules	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	4.00 stars
4.00 stars	Dean Blunt & Inga Copeland - Black Is Beautiful	3.00 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
4.00 stars	Beach House - Bloom	3.00 stars
3.50 stars	LFY - Saluting Rome	3.00 stars
3.00 stars	Japandroids - Celebration Rock	2.50 stars
3.50 stars	Frank Ocean - channel ORANGE	4.00 stars
3.50 stars	James Ferraro - Live at Primavera Sound 2012	3.50 stars
3.00 stars	Wild Nothing - Nocturne	4.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.00 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.00 stars
4.00 stars	Lil Ugly Mane - Uneven Compromise	3.00 stars
4.00 stars	Alex G - Trick	3.50 stars
3.00 stars	FIDLAR - FIDLAR	2.00 stars
4.00 stars	Iceage - You're Nothing	3.00 stars
3.00 stars	Slow Warm Death - Slow Warm Death	2.00 stars
4.00 stars	Starry Cat - Starry Cat	4.00 stars
4.00 stars	Dean Blunt - The Redeemer	3.50 stars
4.00 stars	Deerhunter - Monomania	4.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	4.00 stars
3.50 stars	Deafheaven - Sunbather	4.00 stars
3.00 stars	Kanye West - Yeezus	3.50 stars
3.50 stars	Mitski - Retired From Sad, New Career in Business	2.50 stars
3.50 stars	Julia Holter - Loud City Song	3.50 stars
3.50 stars	Lil Ugly Mane - Prelude to Panopticon: "On Doing an Evil Deed Blues"	4.00 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	4.00 stars
4.00 stars	Melt-Banana - Fetch	3.00 stars
3.50 stars	Julia Brown - An Abundance of Strawberries	3.00 stars
3.50 stars	##### - #####	3.50 stars
4.00 stars	Alex G - DSU	4.50 stars
4.00 stars	Iceage - Plowing Into the Field of Love	3.00 stars
4.00 stars	Dean Blunt - Black Metal	4.00 stars
4.00 stars	Mitski - Bury Me at Makeout Creek	4.00 stars
3.50 stars	Raspberry Bulbs - Privacy	3.00 stars
3.00 stars	Soichi Terada - Sounds From the Far East	3.50 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	4.00 stars
4.00 stars	Tzusing - A Name Out of Place Pt. II	4.00 stars
4.00 stars	Tears - 33	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	3.00 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	3.50 stars
3.50 stars	Earl Sweatshirt - Solace	3.50 stars
3.50 stars	Lil Ugly Mane - Third Side of Tape	4.50 stars
3.50 stars	Carly Rae Jepsen - E·MO·TION	3.00 stars
4.50 stars	Beach House - Depression Cherry	4.00 stars
4.00 stars	Travis Scott - Rodeo	3.00 stars
3.50 stars	U.S. Girls - Half Free	4.00 stars
4.00 stars	Julia Holter - Have You in My Wilderness	3.00 stars
3.50 stars	Stara Rzeka - Zamknęły się oczy ziemi	2.50 stars
4.50 stars	Lil Ugly Mane - Oblivion Access	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.00 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	3.00 stars
3.50 stars	Car Seat Headrest - Teens of Denial	3.00 stars
4.00 stars	Delroy Edwards - Hangin' at the Beach	4.00 stars
4.00 stars	Jefre Cantu-Ledesma - In Summer	4.00 stars
3.00 stars	Blood Orange - Freetown Sound	2.00 stars
