rental	Album	eccojam
3.00 stars	Shinsei Kamattechan - つまんね (Tsumanne)	3.50 stars
4.50 stars	Graham Lambkin - Amateur Doubles	4.00 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.50 stars	Destroyer - Kaputt	4.50 stars
4.00 stars	Grouper - A I A: Alien Observer	4.00 stars
4.00 stars	Death Grips - Exmilitary	3.50 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.00 stars
3.50 stars	SBTRKT - SBTRKT	3.50 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
3.00 stars	Shabazz Palaces - Black Up	4.00 stars
4.00 stars	Kendrick Lamar - Section.80	3.00 stars
4.00 stars	Danny Brown - XXX	3.50 stars
3.00 stars	Julia Holter - Tragedy	3.50 stars
3.50 stars	Real Estate - Days	3.00 stars
3.50 stars	James Ferraro - Far Side Virtual	3.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	4.00 stars
4.00 stars	Mac DeMarco - Rock and Roll Night Club	3.50 stars
3.50 stars	Mitski - LUSH	3.00 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	3.50 stars
4.00 stars	Julia Holter - Ekstasis	4.00 stars
3.50 stars	Lower - Walk on Heads	3.00 stars
4.00 stars	Dean Blunt & Inga Copeland - Black Is Beautiful	3.00 stars
3.00 stars	White Suns - Sinews	3.50 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
4.00 stars	Beach House - Bloom	4.00 stars
3.00 stars	Japandroids - Celebration Rock	3.00 stars
4.50 stars	Fiona Apple - The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	4.00 stars
3.50 stars	Frank Ocean - channel ORANGE	3.50 stars
3.50 stars	Micachu and the Shapes - Never	3.50 stars
3.50 stars	James Ferraro - Live at Primavera Sound 2012	3.50 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.00 stars	Swans - The Seer	4.00 stars
4.00 stars	Grizzly Bear - Shields	3.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.50 stars
4.00 stars	Tame Impala - Lonerism	3.50 stars
3.00 stars	Lorenzo Senni - Quantum Jelly	3.50 stars
3.50 stars	Converge - All We Love We Leave Behind	4.00 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
