rental	Album	mohorte
3.00 stars	Cult of Youth - Love Will Prevail	3.50 stars
4.00 stars	Grizzly Bear - Shields	3.50 stars
4.00 stars	Tame Impala - Lonerism	4.00 stars
3.50 stars	METZ - METZ	3.00 stars
3.50 stars	Converge - All We Love We Leave Behind	3.50 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
3.50 stars	Metá Metá - MetaL MetaL	4.00 stars
3.00 stars	Fire! Orchestra - Exit!	3.50 stars
3.00 stars	FIDLAR - FIDLAR	3.00 stars
3.50 stars	My Bloody Valentine - m b v	3.50 stars
4.00 stars	Iceage - You're Nothing	3.00 stars
3.50 stars	Hookworms - Pearl Mystic	3.50 stars
3.50 stars	The Men - New Moon	4.00 stars
3.00 stars	James Blake - Overgrown	3.00 stars
3.50 stars	Stara Rzeka - Cień chmury nad ukrytym polem	3.00 stars
4.00 stars	Deerhunter - Monomania	4.00 stars
3.00 stars	Pharmakon - Abandon	3.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	4.50 stars
3.50 stars	Deafheaven - Sunbather	3.50 stars
5.00 stars	Holden - The Inheritors	4.00 stars
3.00 stars	Run the Jewels - Run the Jewels	2.00 stars
3.50 stars	Julia Holter - Loud City Song	3.50 stars
3.50 stars	Forest Swords - Engravings	3.50 stars
3.50 stars	Machinedrum - Vapor City	3.00 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	3.50 stars
4.00 stars	Melt-Banana - Fetch	3.00 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	3.50 stars
3.50 stars	DJ Rashad - Double Cup	2.50 stars
3.00 stars	TOY - Join the Dots	3.00 stars
3.50 stars	Innercity Ensemble - II	4.00 stars
4.00 stars	The Men - Tomorrow's Hits	4.00 stars
3.00 stars	The Body - I Shall Die Here	3.00 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	4.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.00 stars
3.00 stars	Todd Terje - It's Album Time	3.00 stars
4.00 stars	Sleaford Mods - Divide and Exit	3.50 stars
4.00 stars	Ought - More Than Any Other Day	4.00 stars
3.00 stars	Ben Frost - A U R O R A	4.00 stars
3.50 stars	Sharon Van Etten - Are We There	4.00 stars
3.50 stars	Parquet Courts - Sunbathing Animal	3.50 stars
2.50 stars	Ty Segall - Manipulator	3.50 stars
3.50 stars	Ought - Once More With Feeling	2.50 stars
4.00 stars	Parkay Quarts - Content Nausea	3.50 stars
3.50 stars	Twerps - Range Anxiety	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
3.50 stars	Lightning Bolt - Fantasy Empire	3.50 stars
3.50 stars	Marlon Williams - Marlon Williams	2.50 stars
3.50 stars	Colin Stetson and Sarah Neufeld - Never Were the Way She Was	3.00 stars
3.50 stars	Hop Along - Painted Shut	4.00 stars
3.00 stars	Prurient - Frozen Niagara Falls	3.00 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
3.00 stars	Algiers - Algiers	4.00 stars
4.50 stars	Institute - Catharsis	3.50 stars
3.50 stars	Mac DeMarco - Another One	3.00 stars
3.50 stars	Chelsea Wolfe - Abyss	3.50 stars
4.50 stars	Beach House - Depression Cherry	3.50 stars
3.00 stars	Blank Realm - Illegals in Heaven	3.50 stars
4.00 stars	Julia Holter - Have You in My Wilderness	4.00 stars
3.00 stars	Deafheaven - New Bermuda	4.00 stars
3.50 stars	Girls Names - Arms Around a Vision	3.50 stars
3.50 stars	Stara Rzeka - Zamknęły się oczy ziemi	4.00 stars
3.50 stars	The Mantles - All Odds End	3.00 stars
3.50 stars	Floating Points - Elaenia	3.00 stars
3.50 stars	Bill Ryder-Jones - West Kirby County Primary	3.50 stars
3.50 stars	Batushka - Литургия (Litourgiya)	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.00 stars
3.00 stars	Triángulo de Amor Bizarro - Salve discordia	4.00 stars
3.50 stars	Not Waving - Animals	2.50 stars
3.50 stars	Nap Eyes - Thought Rock Fish Scale	3.00 stars
3.50 stars	Paul Jebanasam - Continuum	4.00 stars
3.50 stars	Wacław Zimpel - Lines	4.00 stars
3.50 stars	Mothers - When You Walk a Long Distance You Are Tired	3.50 stars
3.50 stars	Big Ups - Before a Million Universes	3.00 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
4.00 stars	Anna Meredith - Varmints	3.00 stars
3.50 stars	Juventud Juché - Movimientos	4.00 stars
3.00 stars	The Field - The Follower	3.50 stars
4.00 stars	Frankie Cosmos - Next Thing	4.00 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	4.00 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	2.50 stars
3.50 stars	Car Seat Headrest - Teens of Denial	4.00 stars
3.50 stars	Metá Metá - MM3	4.00 stars
3.50 stars	PUP - The Dream Is Over	2.50 stars
3.50 stars	Big Thief - Masterpiece	2.50 stars
3.50 stars	Huerco S. - For Those of You Who Have Never (And Also Those Who Have)	3.00 stars
3.50 stars	Bruxa Maria - Human Condition	4.00 stars
4.00 stars	GØGGS - GØGGS	3.00 stars
3.00 stars	Blood Orange - Freetown Sound	2.50 stars
4.00 stars	Angel Olsen - MY WOMAN	4.00 stars
3.50 stars	Preoccupations - Preoccupations	3.50 stars
3.50 stars	Innercity Ensemble - III	4.00 stars
